Tanggal,Tweet,Username,Likes,Replies,Retweets
2022-12-30 11:51:37+00:00,.@BLACKPINK's 'Shut Down' has surpassed 2.4 million unique listeners on MelOn. https://t.co/EM1Afd1YYp,chartsblackpink,961,0,176
2022-12-30 08:21:52+00:00,"@mylenexxxxxxx @BBU_BLACKPINK @BLACKPINK Yes. Lol. Basically, still YG. 😂",YamanakaBitch,0,0,0
2022-12-30 23:30:43+00:00,@quiuzlui @girlbossivestan @Seulmin26 @kchartsmaster @IVE_twt @BLACKPINK @G_I_DLE @aespa_official @NewJeans_ADOR @RVsmtown @JYPETWICE @ITZYofficial @WM_OHMYGIRL @le_sserafim That fandom. Thanks to Hybe and Min Hee jin🤐,ramadhaniWy,2,1,0
2022-12-30 23:26:25+00:00,@elena_drye Ok good I was kinda worried tbh.,born_blackpink,0,1,0
2022-12-30 09:44:54+00:00,"#RishabhPant #HeerabenModi Om Shanti #ThunivuCharactersReveal #E4MBigScreenSuccumbsToSmall ऋषभ पंत Krish Bucks as Rajesh BB REUNITE PRIYANKA ANKIT blackpink Roorkee Crucial Evidence InSSRCase Hon'ble PM Delhi-Dehradun May God Rest in Peace 
https://t.co/ceEsX2XwR9",theusaprint,1,0,3
2022-12-30 15:24:30+00:00,"@Seoul_Merchant BTS 
BLACKPINK 
TWICE
STRAY KIDS
TXT
ENHYPEN 
LE SSERAFIM 
ITZY
NEW JEANS
G IDLE https://t.co/qXz6UULPRF",jeontaenus_,0,0,0
2022-12-30 16:14:47+00:00,Adeus blackpink https://t.co/ACuV9BJ1jz,liliechanel,0,0,0
2022-12-30 12:18:02+00:00,"I mean I saw this coming I knew they weren’t going to disband and BLACKPINK aren’t BLACKPINK without Rosé, Jisoo, Jennie, and Lisa",j_nists,0,0,0
2022-12-30 14:54:33+00:00,blackpink switching labels is like moving into a new apartment in the same building you already live in,moonlightcherie,1,0,0
2022-12-30 07:24:13+00:00,"Blackpink and the members can choose any agency they want. They are not stupid at all.  if you don't like what they choose, just keep it to yourself. They don't even need it.",Xnxovst,0,0,0
2022-12-30 13:59:00+00:00,Girl I got excited when I read that they left yg then I saw the black label…bffr blackpink https://t.co/D6p8DfaO2E,sparkjens,0,1,0
2022-12-30 13:41:28+00:00,"if somi leaks another blackpink's song again, dont fcking blame her",somigang1,3,0,0
2022-12-30 08:10:11+00:00,"If Blackpink leaves YG do you think BP look like the same with the other compan. Its making them
**e**",iloveAysahg,0,0,0
2022-12-30 23:32:37+00:00,@quiuzlui @ramadhaniWy @Seulmin26 @kchartsmaster @IVE_twt @BLACKPINK @G_I_DLE @aespa_official @NewJeans_ADOR @RVsmtown @JYPETWICE @ITZYofficial @WM_OHMYGIRL @le_sserafim personal opinion of yours just like i think some of those girls are ugly,girlbossivestan,0,0,0
2022-12-30 19:36:45+00:00,"tags larry harry anime kpop gc promo .nct nsfw #gfvip loyal list mr beast tiktok charli feet gg stan stray kids furry hot follow trick blackpink taekook fancam views furry charli  ifb gain oomfs cat doja ariana grande leak  positions wayv dixie corpse
https://t.co/A0odtS7iJY",tiniehuxiao,2,0,0
2022-12-30 11:05:41+00:00,'busy' in the dn but she is tweeting about blackpink all the time ofc she will token stan the new gg https://t.co/W306tXJOGA,solosooyaa,13,0,0
2022-12-30 07:26:57+00:00,@blackpinkvenom Yea lol I don’t really go to concerts. Blackpink is the only exception 😂😂,MerrellRussett,0,1,0
2022-12-30 11:45:39+00:00,@Swanta_TV Blackpink ?,Laura_gt22,1,0,0
2022-12-30 08:11:10+00:00,@togejustvibin 😭😭😭 please 2023 be good to Blackpink and Blinks,niesoooseisa,1,0,0
2022-12-30 09:58:11+00:00,@BLACKPINK lemme see my girl,mdsll_p,0,0,0
2022-12-30 07:48:50+00:00,blackpink are literally stuck like you'll only see them once in a blue moon now (which isn't a shocker they barely make music),jindolies,0,0,0
2022-12-30 06:53:32+00:00,BAEMON X BLACKPINK COLLAB,zefrivos,0,0,0
2022-12-30 09:37:42+00:00,@BLACKPINK_PH Check dm po @myhomeisblckpnk ☺,heyitsjennielie,0,0,0
2022-12-30 12:16:19+00:00,"Just got back from work... I woke up this morning to iKON leaving YG as a group, rumours saying that BLACKPINK will be transfered to THE BLACK LABEL and YG starting launching their new girl group! It was 6 AM so I seriously thought I was still dreaming or something 💀",pandaholicVIP,5,0,1
2022-12-30 09:07:05+00:00,@IronLadygaga7 @chartdata @BLACKPINK Aww can’t stan a successful woman winning I see,re30668463,0,0,0
2022-12-30 16:19:35+00:00,"y'all do understand that blackpink is still gonna be funded by yg, right? the black label is a division under yg so ofc they're gonna get the promo money.",starkozova,2,1,0
2022-12-30 09:17:02+00:00,"MY GIRLS @BLACKPINK 

https://t.co/O83RFm9SeN",camzbanuhnuh,0,0,0
2022-12-30 15:23:39+00:00,People that call every Korean group BTS/Blackpink... just say you're racist and move on😭,ItBoyYeonjunnie,0,1,0
2022-12-30 06:20:03+00:00,thats supposed to be Blackpink's original names,jcrsm_2195,0,0,0
2022-12-30 09:15:36+00:00,@PopBase blackpink OUT,storyofaquarius,0,0,0
2022-12-30 21:34:40+00:00,@kpopinyour12 @AyamPopeye @BLACKPINKSTATS5 @BLACKPINK 2 actually and a jp debut but it was only their debut in jp. + a new bside,rosiesarelovely,0,1,0
